voornaam,aantal
Lina,45
Rania,17
Maya,16
Mayssa,14
Alice,13
Khadija,11
Alicia,11
Asma,9
Anna,9
Amal,8
Safae,8
Soraya,8
Basma,8
Kawtar,7
Israe,7
Antonia,6
Eliza,6
Nisa,5
Aïcha,5
Nora,5
Sonia,5
Chiara,5
Ariana,5
Clara,5
Ada,4
Beatrice,4
Johanna,4
Jinane,4
Iris,4
Esma,4
Jannat,4
Camélia,4
Masal,4
Assya,4
Miriam,3
Ioana,3
Feyza,3
Shayna,3
Zahra,3
Andreea,3
Asmae,3
Tuana,3
Maëlle,3
Leya,3
Zuzanna,3
Billie,3
Milena,3
Lola,3
Narjis,3
Hidaya,3
Youssra,3
Kadiata,3
Salimatou,3
Soumaya,3
Tenzin,3
Rana,3
Fatma,3
Saja,3
Erin,3
Ikram,3
Nicole,3
Safiatou,3
Estelle,3
Rayhana,2
Yamina,2
Samanta,2
Luiza,2
Paula,2
Divine,2
Eliz,2
Alix,2
Constance,2
Elodie,2
Merve,2
Melissa,2
Amélie,2
Kenaya,2
Samya,2
Asia,2
Inayah,2
Sasha,2
Salsabil,2
Hilal,2
Margot,2
Ceyda,2
Liya,2
Josephine,2
Yara,2
Norhane,2
Nikola,2
Lujain,2
Wiem,2
Hira,2
Anna-Maria,2
Maysam,1
Houyam,1
Anela,1
Allégresse,1
Meyssen,1
Nawar,1
Aya,29
Yasmine,25
Mariam,20
Malak,19
Salma,18
Assia,18
Inaya,17
Lucie,17
Ines,14
Hafsa,12
Léa,12
Manel,11
Kadiatou,10
Julia,10
Ana,9
Noor,9
Safia,8
Zoé,8
Elif,8
Myriam,8
Yasmina,8
Safiya,8
Zaynab,7
Laura,7
Sophia,7
Alessia,7
Manon,7
Hiba,7
Firdaws,6
Mira,6
Neyla,6
Lara,6
Aliya,6
Jana,5
Zineb,5
Adelina,5
Ilaf,5
Nina,5
Aissatou,5
Dounia,5
Afnane,4
Jihane,4
Bianca,4
Anastasia,4
Aliyah,4
Nihal,4
Gloria,4
Andrea,4
Rahela,4
Inas,4
Noémie,4
Margaux,4
Rose,3
Zehra,3
Halima,3
Hiranur,3
Nadine,3
Carolina,3
Leyna,3
Alae,3
Hadja,3
Soukayna,3
Karolina,3
Leonor,3
Hanna,3
Lilya,3
Flore,3
Emy,3
Soukaïna,3
Leyla,3
Israa,3
Eleana,2
Mélina,2
Erva,2
Nathalie,2
Lucia,2
Fidan,2
Rosalie,2
Elza,2
Diana,2
Eliane,2
Kamélia,2
Jia,2
Lyn,2
Sakina,2
Almira,2
Damla,2
Kelya,2
Louna,2
Pola,2
Hind,2
Emily,2
Raniya,2
Lio,2
Eléna,2
Patricia,2
Jemima,2
Emmy,2
Eline,2
Abrar,2
Nour,46
Amira,27
Maryam,23
Amina,18
Hajar,16
Victoria,14
Meryem,14
Dina,14
Chloé,13
Tasnim,13
Elisa,12
Nada,10
Olivia,10
Miray,8
Mariama,8
Fatoumata,8
Daria,8
Adama,8
Rim,7
Maïssa,7
Hazal,6
Isra,6
Janna,6
Safa,5
Assiya,5
Samia,5
Anaïs,5
Nisrine,5
Irem,4
Sena,4
Valentine,4
Amalia,4
Capucine,4
Eliana,4
Leila,4
Rebecca,4
Ritaj,4
Ecrin,3
Lila,3
Ahlam,3
Bayane,3
Kayla,3
Amélia,3
Héloïse,3
Lana,3
Mia,3
Hannah,3
Karen,2
Tania,2
Elissa,2
Eylul,2
Emna,2
Houda,2
Sudenaz,2
Maia,2
Nayla,2
Séphora,2
Tugba,2
Jill,2
Binta,2
Céline,2
Bayan,2
Emmanuella,2
Halimatou,2
Lylia,2
Anais,2
Suzie,2
Lucille,2
Assinate,2
Hasna,2
Nélia,2
Dania,2
Zoe,2
Aleksandra,2
Hadasa,2
Bintou,2
Angie,2
Asmaou,2
Nouhayla,2
Inés,2
Alegria,2
Aissata,2
Kaoutar,2
Eléonore,2
Paulina,2
Aïssatou,2
Helin,2
Nur,2
Anaëlle,2
Anouk,2
Dea,2
Najwa,2
Rym,2
