CD_REFNIS,STAD,TX_MUNTY_DESCR_FR,NAAM,AANTAL
11001,Aartselaar,Aartselaar,Emma,12
11001,Aartselaar,Aartselaar,Liv,11
11001,Aartselaar,Aartselaar,Marie,11
11001,Aartselaar,Aartselaar,Julie,9
11001,Aartselaar,Aartselaar,Charlotte,7
11001,Aartselaar,Aartselaar,Lisa,7
11001,Aartselaar,Aartselaar,Lore,7
11001,Aartselaar,Aartselaar,Hanne,6
11001,Aartselaar,Aartselaar,June,6
11001,Aartselaar,Aartselaar,Lotte,6
11001,Aartselaar,Aartselaar,Nora,6
11001,Aartselaar,Aartselaar,Amélie,5
11001,Aartselaar,Aartselaar,Eline,5
11001,Aartselaar,Aartselaar,Elise,5
11001,Aartselaar,Aartselaar,Louise,5
11001,Aartselaar,Aartselaar,Noor,5
11002,Antwerpen,Anvers,Noor,420
11002,Antwerpen,Anvers,Sara,362
11002,Antwerpen,Anvers,Lina,324
11002,Antwerpen,Anvers,Aya,312
11002,Antwerpen,Anvers,Olivia,218
11002,Antwerpen,Anvers,Emma,211
11002,Antwerpen,Anvers,Fatima,193
11002,Antwerpen,Anvers,Sarah,193
11002,Antwerpen,Anvers,Amira,188
11002,Antwerpen,Anvers,Marie,188
11002,Antwerpen,Anvers,Amina,187
11002,Antwerpen,Anvers,Lena,185
11002,Antwerpen,Anvers,Inaya,172
11002,Antwerpen,Anvers,Marwa,172
11002,Antwerpen,Anvers,Maryam,166
11002,Antwerpen,Anvers,Elise,158
11002,Antwerpen,Anvers,Hajar,158
11002,Antwerpen,Anvers,Nora,153
11002,Antwerpen,Anvers,Rania,146
11002,Antwerpen,Anvers,Charlotte,138
11002,Antwerpen,Anvers,Dina,137
11002,Antwerpen,Anvers,Julie,135
11002,Antwerpen,Anvers,Sofia,135
11002,Antwerpen,Anvers,Anna,134
11002,Antwerpen,Anvers,Louise,134
11002,Antwerpen,Anvers,Hafsa,133
11002,Antwerpen,Anvers,Malak,131
11002,Antwerpen,Anvers,Yasmine,131
11002,Antwerpen,Anvers,Ella,127
11002,Antwerpen,Anvers,Khadija,127
11002,Antwerpen,Anvers,Imane,124
11002,Antwerpen,Anvers,Juliette,121
11002,Antwerpen,Anvers,Elif,115
11002,Antwerpen,Anvers,Mila,113
11002,Antwerpen,Anvers,Salma,111
11002,Antwerpen,Anvers,Esther,110
11002,Antwerpen,Anvers,Amélie,109
11002,Antwerpen,Anvers,Nina,107
11002,Antwerpen,Anvers,Rachel,107
11002,Antwerpen,Anvers,Elena,105
11002,Antwerpen,Anvers,Liv,102
11002,Antwerpen,Anvers,Lotte,101
11002,Antwerpen,Anvers,Julia,100
11002,Antwerpen,Anvers,Nour,98
11002,Antwerpen,Anvers,Laura,97
11002,Antwerpen,Anvers,Isra,96
11002,Antwerpen,Anvers,Sam,96
11002,Antwerpen,Anvers,Nisrine,95
11002,Antwerpen,Anvers,Farah,93
11002,Antwerpen,Anvers,Lore,92
11002,Antwerpen,Anvers,Lisa,91
11002,Antwerpen,Anvers,Luna,91
11002,Antwerpen,Anvers,Amber,90
11002,Antwerpen,Anvers,Lily,89
11002,Antwerpen,Anvers,Zoë,89
11002,Antwerpen,Anvers,Israe,88
11002,Antwerpen,Anvers,Inara,86
11002,Antwerpen,Anvers,Fien,84
11002,Antwerpen,Anvers,Helena,84
11002,Antwerpen,Anvers,Mariam,84
11002,Antwerpen,Anvers,Noa,83
11002,Antwerpen,Anvers,Eline,82
11002,Antwerpen,Anvers,Ines,82
11002,Antwerpen,Anvers,Billie,80
11002,Antwerpen,Anvers,Maria,79
11002,Antwerpen,Anvers,Roos,79
11002,Antwerpen,Anvers,Stella,79
11002,Antwerpen,Anvers,Amelia,77
11002,Antwerpen,Anvers,Yousra,77
11002,Antwerpen,Anvers,Renée,75
11002,Antwerpen,Anvers,Yasmina,75
11002,Antwerpen,Anvers,Lucie,74
11002,Antwerpen,Anvers,Maya,74
11002,Antwerpen,Anvers,Maysa,73
11002,Antwerpen,Anvers,Mona,73
11002,Antwerpen,Anvers,Mia,71
11002,Antwerpen,Anvers,Victoria,71
11002,Antwerpen,Anvers,Alice,70
11002,Antwerpen,Anvers,Safae,70
11002,Antwerpen,Anvers,Sophia,69
11002,Antwerpen,Anvers,Lea,68
11002,Antwerpen,Anvers,Yara,68
11002,Antwerpen,Anvers,Emily,67
11002,Antwerpen,Anvers,Nada,66
11002,Antwerpen,Anvers,Yasmin,65
11002,Antwerpen,Anvers,Zeynep,65
11002,Antwerpen,Anvers,Alina,64
11002,Antwerpen,Anvers,Meryem,64
11002,Antwerpen,Anvers,Manar,63
11002,Antwerpen,Anvers,Hiba,62
11002,Antwerpen,Anvers,Mira,62
11002,Antwerpen,Anvers,Tenzin,61
11002,Antwerpen,Anvers,Azra,60
11002,Antwerpen,Anvers,Emilia,60
11002,Antwerpen,Anvers,Eva,60
11002,Antwerpen,Anvers,Kato,60
11002,Antwerpen,Anvers,Firdaous,58
11002,Antwerpen,Anvers,Hanna,58
11002,Antwerpen,Anvers,Jolien,58
11002,Antwerpen,Anvers,Assia,57
11002,Antwerpen,Anvers,Zainab,57
11002,Antwerpen,Anvers,Amani,56
11002,Antwerpen,Anvers,Amy,56
11002,Antwerpen,Anvers,Bo,56
11002,Antwerpen,Anvers,Fleur,56
11002,Antwerpen,Anvers,Lola,56
11002,Antwerpen,Anvers,Nisa,55
11002,Antwerpen,Anvers,Anaïs,54
11002,Antwerpen,Anvers,Miriam,54
11002,Antwerpen,Anvers,Naomi,54
11002,Antwerpen,Anvers,Tasnim,54
11002,Antwerpen,Anvers,Amal,53
11002,Antwerpen,Anvers,Elisa,53
11002,Antwerpen,Anvers,Lou,53
11002,Antwerpen,Anvers,Anissa,52
11002,Antwerpen,Anvers,Manon,52
11002,Antwerpen,Anvers,Safa,52
11002,Antwerpen,Anvers,Alicia,51
11002,Antwerpen,Anvers,Camille,51
11002,Antwerpen,Anvers,Chaya,51
11002,Antwerpen,Anvers,Hanne,51
11002,Antwerpen,Anvers,Janne,51
11002,Antwerpen,Anvers,Kaoutar,51
11002,Antwerpen,Anvers,Rana,51
11002,Antwerpen,Anvers,Dounia,49
11002,Antwerpen,Anvers,Iman,49
11002,Antwerpen,Anvers,Angelina,48
11002,Antwerpen,Anvers,Hailey,48
11002,Antwerpen,Anvers,Hidaya,48
11002,Antwerpen,Anvers,Elisabeth,47
11002,Antwerpen,Anvers,Hannah,47
11002,Antwerpen,Anvers,Jade,47
11002,Antwerpen,Anvers,Lara,47
11002,Antwerpen,Anvers,Aisha,46
11002,Antwerpen,Anvers,Maja,45
11002,Antwerpen,Anvers,Hira,44
11002,Antwerpen,Anvers,Ranya,44
11002,Antwerpen,Anvers,Sofie,44
11002,Antwerpen,Anvers,Soumaya,43
11002,Antwerpen,Anvers,Amelie,42
11002,Antwerpen,Anvers,Axelle,42
11002,Antwerpen,Anvers,Manal,42
11002,Antwerpen,Anvers,Insaf,41
11002,Antwerpen,Anvers,Selma,41
11002,Antwerpen,Anvers,Tuana,41
11002,Antwerpen,Anvers,Alexia,40
11002,Antwerpen,Anvers,Chloé,40
11002,Antwerpen,Anvers,Emilie,40
11002,Antwerpen,Anvers,Rosie,40
11002,Antwerpen,Anvers,Soraya,40
11002,Antwerpen,Anvers,Yana,40
11002,Antwerpen,Anvers,Aline,39
11002,Antwerpen,Anvers,Alyssa,39
11002,Antwerpen,Anvers,Hanae,39
11002,Antwerpen,Anvers,Lio,39
11002,Antwerpen,Anvers,Sophie,39
11002,Antwerpen,Anvers,Esma,38
11002,Antwerpen,Anvers,Jana,38
11002,Antwerpen,Anvers,Lana,38
11002,Antwerpen,Anvers,Lien,38
11002,Antwerpen,Anvers,Romaysa,38
11002,Antwerpen,Anvers,Gloria,37
11002,Antwerpen,Anvers,Zayneb,37
11002,Antwerpen,Anvers,Alexandra,36
11002,Antwerpen,Anvers,Fatoumata,36
11002,Antwerpen,Anvers,Milla,36
11002,Antwerpen,Anvers,Oumaima,36
11002,Antwerpen,Anvers,Romaissa,36
11002,Antwerpen,Anvers,Rosalie,36
11002,Antwerpen,Anvers,Ada,35
11002,Antwerpen,Anvers,Alae,35
11002,Antwerpen,Anvers,Asya,35
11002,Antwerpen,Anvers,Aylin,35
11002,Antwerpen,Anvers,Leyla,35
11002,Antwerpen,Anvers,Medina,35
11002,Antwerpen,Anvers,Melissa,35
11002,Antwerpen,Anvers,Merel,35
11002,Antwerpen,Anvers,Nore,35
11002,Antwerpen,Anvers,Romy,35
11002,Antwerpen,Anvers,Safiya,35
11002,Antwerpen,Anvers,Chaimae,34
11002,Antwerpen,Anvers,Ecrin,34
11002,Antwerpen,Anvers,Eliza,34
11002,Antwerpen,Anvers,June,34
11002,Antwerpen,Anvers,Lili,34
11002,Antwerpen,Anvers,Lucy,34
11002,Antwerpen,Anvers,Mina,34
11002,Antwerpen,Anvers,Pauline,34
11002,Antwerpen,Anvers,Zahra,34
11002,Antwerpen,Anvers,Aicha,33
11002,Antwerpen,Anvers,Ariana,33
11002,Antwerpen,Anvers,Asiya,33
11002,Antwerpen,Anvers,Faigy,33
11002,Antwerpen,Anvers,Gitty,33
11002,Antwerpen,Anvers,Liyana,33
11002,Antwerpen,Anvers,Margot,33
11002,Antwerpen,Anvers,Zehra,33
11002,Antwerpen,Anvers,Ayah,32
11002,Antwerpen,Anvers,Basma,32
11002,Antwerpen,Anvers,Chani,32
11002,Antwerpen,Anvers,Ellis,32
11002,Antwerpen,Anvers,Firdaws,32
11002,Antwerpen,Anvers,Lise,32
11002,Antwerpen,Anvers,Chaima,31
11002,Antwerpen,Anvers,Inas,31
11002,Antwerpen,Anvers,Michelle,31
11002,Antwerpen,Anvers,Oumayma,31
11002,Antwerpen,Anvers,Paulien,31
