CD_REFNIS,STAD,TX_MUNTY_DESCR_FR,NAAM,AANTAL
11001,Aartselaar,Aartselaar,Louis,9
11001,Aartselaar,Aartselaar,Jules,8
11001,Aartselaar,Aartselaar,Vince,8
11001,Aartselaar,Aartselaar,Arthur,7
11001,Aartselaar,Aartselaar,Finn,7
11001,Aartselaar,Aartselaar,Jack,6
11001,Aartselaar,Aartselaar,Kobe,6
11001,Aartselaar,Aartselaar,Lars,6
11001,Aartselaar,Aartselaar,Maxim,6
11001,Aartselaar,Aartselaar,Nathan,6
11001,Aartselaar,Aartselaar,Seppe,6
11001,Aartselaar,Aartselaar,Wout,6
11001,Aartselaar,Aartselaar,Alexander,5
11001,Aartselaar,Aartselaar,Gilles,5
11001,Aartselaar,Aartselaar,Leon,5
11001,Aartselaar,Aartselaar,Liam,5
11001,Aartselaar,Aartselaar,Lucas,5
11001,Aartselaar,Aartselaar,Lukas,5
11001,Aartselaar,Aartselaar,Noah,5
11001,Aartselaar,Aartselaar,Senne,5
11001,Aartselaar,Aartselaar,Siebe,5
11001,Aartselaar,Aartselaar,Simon,5
11002,Antwerpen,Anvers,Mohamed,860
11002,Antwerpen,Anvers,Adam,657
11002,Antwerpen,Anvers,Rayan,403
11002,Antwerpen,Anvers,Mohammed,320
11002,Antwerpen,Anvers,Imran,269
11002,Antwerpen,Anvers,Hamza,240
11002,Antwerpen,Anvers,Noah,234
11002,Antwerpen,Anvers,David,221
11002,Antwerpen,Anvers,Youssef,219
11002,Antwerpen,Anvers,Alexander,208
11002,Antwerpen,Anvers,Ayoub,207
11002,Antwerpen,Anvers,Liam,200
11002,Antwerpen,Anvers,Younes,196
11002,Antwerpen,Anvers,Ilyas,178
11002,Antwerpen,Anvers,Ali,175
11002,Antwerpen,Anvers,Ibrahim,174
11002,Antwerpen,Anvers,Anas,171
11002,Antwerpen,Anvers,Amir,166
11002,Antwerpen,Anvers,Louis,163
11002,Antwerpen,Anvers,Lucas,161
11002,Antwerpen,Anvers,Jack,160
11002,Antwerpen,Anvers,Muhammed,158
11002,Antwerpen,Anvers,Bilal,157
11002,Antwerpen,Anvers,Jules,154
11002,Antwerpen,Anvers,Ayman,149
11002,Antwerpen,Anvers,Arthur,148
11002,Antwerpen,Anvers,Victor,146
11002,Antwerpen,Anvers,Zakaria,144
11002,Antwerpen,Anvers,Leon,139
11002,Antwerpen,Anvers,Amin,132
11002,Antwerpen,Anvers,Benjamin,131
11002,Antwerpen,Anvers,Felix,129
11002,Antwerpen,Anvers,Milan,129
11002,Antwerpen,Anvers,Thomas,127
11002,Antwerpen,Anvers,Finn,125
11002,Antwerpen,Anvers,Stan,124
11002,Antwerpen,Anvers,Elias,123
11002,Antwerpen,Anvers,Nathan,122
11002,Antwerpen,Anvers,Ahmed,119
11002,Antwerpen,Anvers,Omar,118
11002,Antwerpen,Anvers,Vince,118
11002,Antwerpen,Anvers,Oscar,113
11002,Antwerpen,Anvers,Ilias,111
11002,Antwerpen,Anvers,Yassin,110
11002,Antwerpen,Anvers,Mats,108
11002,Antwerpen,Anvers,Matteo,108
11002,Antwerpen,Anvers,Daniel,107
11002,Antwerpen,Anvers,Kobe,105
11002,Antwerpen,Anvers,Yusuf,105
11002,Antwerpen,Anvers,Sami,104
11002,Antwerpen,Anvers,Alex,103
